"Name","Curriculum","FS1","KG1/FS2","KG2/Y1","G1/Y2","G2/Y3","G3/Y4","G4/Y5","G5/Y6","G6/Y7","G7/Y8","G8/Y9","G9/Y10","G10/Y11","G11/Y12","G12/Y13"
"iCademy Middle East Ignite School","American","","","18332","18332","18332","18332","18332","18332","18332","18332","18332","25672","25672","25672","25672"
"Indian High School,Garhoud","CBSE","","5169","5169","5413","5413","5413","5413","","","","","","","",""
"International Academic School,Dubai","American","15651","15651","15651","17976","17976","17976","18540","18605","18631","20453","21623","23102","26073","27817","29296"
"International Concept for Education (ICE) Dubai","French,IB","45000","55000","58000","61000","64000","67000","70000","73000","77000","77000","","","","",""
"International School of Arts and Sciences,Dubai","American","","31550","31550","39250","40000","40000","41800","42450","42550","44850","46200","55450","55650","54800","57000"
"Islamic School for Training and Education","MOE","","8500","8500","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500"
"Japanese School Dubai","Japanese","25200","25200","25200","19200","19200","19200","19200","19200","19200","19200","19200","19200","","",""
"Jebel Ali School","British","44960","44960","44960","44960","44960","44960","44960","44960","83000","83000","83000","","","",""
"JSS International School","","14117","15274","15274","18328","18328","18328","18328","21383","21383","24437","24437","28750","28750","33147","36837"
"JSS Private School","CBSE","","11532","11532","12684","12684","13839","13839","14991","14991","16145","16145","17297","17297","20402","23889"
"Jumeira Baccalaureate School","IB","58152","58152","58152","75597","75597","75597","75597","75597","75597","75597","75597","75597","75597","87228","87228"
"Jumeirah College","British","","","","","","","","","71508","71508","71508","80447","80447","89385","89385"
"Jumeirah English Speaking School (JESS),Arabian Ranches","British,IB","39030","48231","48231","48231","48231","48231","48231","48231","80847","80847","80847","80847","80847","91950","91950"
"Jumeirah English Speaking School (JESS),Jumeirah","British","39030","48231","48231","48231","48231","48231","48231","48231","80847","80847","80847","80847","80847","91950","91950"
"Kent College Dubai","British","54000","54000","58000","69000","69000","74000","74000","80000","80000","86000","86000","92000","92000","98000","98000"
"Khadija Kobra Iranian School Dubai","Iranian","","","","3333","3333","3333","3333","3333","3833","3833","3667","3667","4500","4500","4500"
"Kindergarten Starters","CBSE","","7207","7207","9617","9617","9617","9617","9617","","","","","","",""
"Kings' School Al Barsha","British","52007","52007","54390","54390","59259","61124","65993","65993","79461","82569","85574","91686","97798","97798","97798"
"Kings' School Dubai","British","42734","42734","53887","53887","53887","53887","65037","65037","","","","","","",""
"Kings’ School Nad Al Sheba","British","50200","50200","52500","52500","57200","59000","63700","63700","","","","","","",""
"Little Flower English School Dubai","CBSE","","3476","3476","3476","3476","3476","3476","3745","3745","","","","","",""
"Lycee Francais International Dubai","French","26376","26376","26376","31651","31651","31651","31651","31651","37394","37394","37394","42495","53119","55781","55781"
"Lycee Francais International Georges Pompidou","French","","","","35021","35021","35021","35021","35021","44294","44294","44294","44294","48093","48093","48093"
"Lycee Francais International Georges Pompidou Oud-Metha","French","","29066","29066","","","","","","","","","","","",""
"Lycee Francais Jean Mermoz,Dubai","French","36000","38000","42000","43000","44000","45000","46000","48000","50000","","","","","",""
"Lycee Libanais Francophone Prive","French","24123","24123","24123","26421","26421","26421","26421","26995","34462","34462","36760","43078","43078","45949","51694"
"Manor Primary School","UK EYFS","47150","47150","49450","49450","51750","51750","51750","51750","51556","51556","51556","55931","55931","61765","61765"
"Mirdif American School","American","23500","23569","24692","25814","26937","28059","29181","30303","31426","33671","34792","","","",""
"National Charity School Dubai","MOE","","","","4277","4277","4277","4871","4871","4871","5465","5465","5465","7841","7841","7841"
"New Academy School","American","","11587","11015","12940","12940","13105","13638","13573","13638","18228","19693","19005","25666","27805","27581"
"New Indian Model School,Dubai","CBSE,Special Needs","","3836","3836","4218","4218","4218","4755","4755","4755","4755","4985","4985","5675","6673","6673"
"New World Private School","MOE","","50000","51538","11555","11555","11555","12923","12923","14537","14537","14537","14537","15280","16650","18140"
"Newlands School Dubai","British","19200","19200","23400","23400","23400","23400","26400","26400","28800","28800","","","","",""
"Next Generation School","American","","26500","28500","32500","33500","34500","35500","36500","37500","38500","","","","",""
"Nibras International School","American,MOE","","22364","22364","24962","24962","24962","31117","31117","31117","37615","37615","37615","44454","44454","44454"
"Nord Anglia International School Dubai","British,IB","62160","62160","72520","72520","77700","77700","77700","77700","82880","82880","82880","89096","89096","94000","94000"
"North American International School (NAIS)","American","","28497","28497","30776","30776","30776","30776","30776","30776","34196","34196","39895","39895","45595","45595"
"North London Collegiate School Dubai","IB","83000","87000","95000","95000","95000","95000","98000","98000","115000","115000","115000","120000","120000","130000","130000"
"Oaktree Primary School","British","30000","30000","34000","34000","38000","38000","42000","42000","","","","","","",""
"Ontario International Canadian School","Canadian","28350","33840","36090","44415","44415","44415","51030","53100","54900","56700","56700","56700","56700","",""
"Oxford School Dubai","British","","11216","12223","12223","12223","12223","12223","12739","12739","12739","13233","13233","15000","17782","17782"
"Pakistan Education Academy","Pakistani","","5985","5985","5857","5857","5857","5857","5857","6112","6112","6112","6817","6817","8210","8210"
"Philadelphia Private School,Dubai","American,Special Needs","","18139","18139","20500","20500","22675","22675","22675","22675","25159","25159","31061","31061","31061","31061"
"Primus Private School","CBSE","11339","11339","11339","13375","13375","13956","13956","16748","16748","19772","19772","22731","22731","22731","22731"
"Pristine Private School","British","13691","14384","15847","15776","16095","16702","16883","16943","18323","18957","18451","21651","23587","22842","22899"
"Queen International School","British","","14381","14381","15280","15280","15280","16174","16174","16174","17078","17979","21576","21576","23375","26969"
"Raffles World Academy (RWA)","British,IB","","30384","36461","47156","47156","47156","56878","56878","56878","64171","64171","64171","71464","85075","85075"
"Ranches Primary School","British","45000","45000","55000","55000","55000","55000","55000","55000","","","","","","",""
"Regent International School,Dubai","British","43787","43787","51083","51083","51083","51083","51083","51083","","","","","","",""
"Renaissance School","American","35000","35000","35000","42000","42000","45000","45000","","","","","","","",""
"Repton School,Dubai","British,IB","52863","58270","59754","59754","61697","62191","70221","70221","75000","78000","80000","88000","88000","95000","95000"
"Rising School Dubai","American","","39500","39500","47500","47500","51500","51500","56500","56500","","","","","",""
"Riverston School Dubai","Arabic,UK EYFS","67500","67500","67500","70500","70500","70500","70500","70500","","","","","","",""
